"Date","home.team","away.team","home.score","away.score"
2018-09-23,"Betis","Ath Bilbao",15,7
2018-09-23,"Levante","Sevilla",19,20
2018-09-23,"Villarreal","Valencia",11,12
2018-09-25,"Ath Madrid","Huesca",17,8
2018-09-25,"Espanol","Eibar",9,8
2018-09-25,"Sociedad","Vallecano",16,11
2018-09-26,"Ath Bilbao","Villarreal",12,19
2018-09-26,"Leganes","Barcelona",10,9
2018-09-26,"Sevilla","Real Madrid",16,21
2018-09-26,"Valencia","Celta",14,9
2018-09-27,"Alaves","Getafe",15,13
2018-09-27,"Girona","Betis",8,14
2018-09-27,"Valladolid","Levante",20,9
2018-09-28,"Vallecano","Espanol",11,12
2018-09-29,"Barcelona","Ath Bilbao",20,8
2018-09-29,"Eibar","Sevilla",15,7
2018-09-29,"Real Madrid","Ath Madrid",15,8
2018-09-29,"Sociedad","Valencia",10,9
2018-09-30,"Betis","Leganes",17,11
2018-09-30,"Huesca","Girona",13,14
2018-09-30,"Levante","Alaves",14,14
2018-09-30,"Villarreal","Valladolid",27,9
2018-10-01,"Celta","Getafe",8,12
2018-10-05,"Ath Bilbao","Sociedad",13,6
2018-10-06,"Alaves","Real Madrid",8,13
2018-10-06,"Getafe","Levante",15,12
2018-10-06,"Girona","Eibar",10,12
2018-10-06,"Leganes","Vallecano",13,6
2018-10-07,"Ath Madrid","Betis",13,5
2018-10-07,"Espanol","Villarreal",28,13
2018-10-07,"Sevilla","Celta",12,13
2018-10-07,"Valencia","Barcelona",10,10
2018-10-07,"Valladolid","Huesca",9,11
2018-10-19,"Celta","Alaves",19,9
2018-10-20,"Barcelona","Sevilla",23,19
2018-10-20,"Real Madrid","Levante",34,6
2018-10-20,"Valencia","Leganes",18,7
2018-10-20,"Villarreal","Ath Madrid",18,15
2018-10-21,"Betis","Valladolid",20,6
2018-10-21,"Eibar","Ath Bilbao",18,6
2018-10-21,"Huesca","Espanol",10,6
2018-10-21,"Vallecano","Getafe",10,5
2018-10-22,"Sociedad","Girona",14,12
2018-10-24,"Vallecano","Ath Bilbao",11,12
2018-10-26,"Valladolid","Espanol",15,11
2018-10-27,"Ath Bilbao","Valencia",13,11
2018-10-27,"Ath Madrid","Sociedad",14,7
2018-10-27,"Celta","Eibar",10,17
2018-10-27,"Girona","Vallecano",14,14
2018-10-27,"Levante","Leganes",9,21
2018-10-28,"Alaves","Villarreal",19,9
2018-10-28,"Barcelona","Real Madrid",13,15
2018-10-28,"Getafe","Betis",16,7
2018-10-28,"Sevilla","Huesca",15,11
2018-11-03,"Leganes","Ath Madrid",8,9
2018-11-03,"Real Madrid","Valladolid",16,12
2018-11-03,"Valencia","Girona",27,5
2018-11-03,"Vallecano","Barcelona",11,9
2018-11-04,"Betis","Celta",14,14
2018-11-04,"Eibar","Alaves",23,9
2018-11-04,"Huesca","Getafe",18,8
2018-11-04,"Sociedad","Sevilla",10,8
2018-11-04,"Villarreal","Levante",23,13
2018-11-05,"Espanol","Ath Bilbao",8,10
